ReferenceNumber,WatchName,Gender,Location,Price,Currency,BrandName,Condition,ScopeOfDelivery,WatchLink,WatchImage,WebsiteName,WatchModel,Year,Movement,PowerReserve,NumberOfJewels,CaseDiameter,CaseMaterial,WaterResistanceAtm,BezelMaterial,Glass,DialColor,BraceletMaterial,BraceletColor,Buckle,BuckleMaterial,Functions,Description,Other
H69439933,Hamilton Khaki field H69439933,M,world,348,USD,Hamilton,New,,https://www.jomashop.com/hamilton-khaki-field-watch-h69439933.html,https://cdn2.jomashop.com/media/catalog/product/h/a/hamilton-khaki-field-hand-wind-black-dial-mens-watch-h69439933.jpg,Jomashop,khaki.field,,Hand Wind,,,38,Stainless Steel,5,Stainless Steel,Scratch Resistant Sapphire,Black,Canvas,Beige,,,"Date, Hour, Minute, Second","Stainless steel case with a beige canvas strap. Fixed stainless steel bezel. Black dial with luminous silver-tone hands and Arabic numeral hour markers. 24 hour markers. Minute markers around the outer rim. Dial Type: Analog. Date display at the 3 o'clock position. Hand wind movement. Scratch resistant sapphire crystal. Solid case back. Round case shape. Case size: 38 mm. Band width: 20 mm. Tang clasp. Water resistant at 50 meters / 165 feet. Functions: date, hour, minute, second. Casual watch style. Watch label: Swiss Made. Hamilton Khaki Field Hand Wind Black Dial Mens Watch H69439933.","Calendar, Stainless Steel"
01 781 7703 4054-07 8 21 77,Oris Artelier complication 01 781 7703 4054-07 8 21 77,M,world,955.2,USD,Oris,New,,https://www.jomashop.com/oris-watch-01-781-7703-4054-07-8-21-77.html,https://cdn2.jomashop.com/media/catalog/product/o/r/oris-artelier-complication-automatic-men_s-watch-781-7703-4054mb-01_781_7703_4054-07_8_21_77_1.jpg,Jomashop,artelier.complication,,Automatic,38,,41,Stainless Steel,5,Stainless Steel,Scratch Resistant Sapphire,Black,Stainless Steel,Silver-tone,,,"Moon Phase, Date, Day, GMT, Second Time Zone, Hour, Minute, Second","Stainless steel case with a stainless steel bracelet. Fixed stainless steel bezel. Black dial with luminous silver-tone hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Four sub-dials displaying: 24 hour, date, day of the week and moonphase. Automatic movement with a 38-hour power reserve. Scratch resistant sapphire crystal. Pull / push crown. Skeleton case back. Case size: 40.5 mm. Case thickness: 11.9 mm. Round case shape. Band width: 21 mm. Fold over clasp. Water resistant at 50 meters / 165 feet. Functions: date, day, hour, minute, second, moonphase. Casual watch style. Watch label: Swiss Made. Oris Artelier Complication Automatic Mens Watch 781-7703-4054MB.","Calendar, GMT, Moon Phase, Stainless Steel, Time Zone"
YA133326,Gucci Interlocking Ya133326,U,world,763.2,USD,Gucci,New,,https://www.jomashop.com/gucci-watch-ya133326.html,https://cdn2.jomashop.com/media/catalog/product/g/u/gucci-interlocking-black-dial-leather-unisex-watch-ya133326.jpg,Jomashop,interlocking,,Quartz,,,37,Gold PVD Stainless Steel,5,,Scratch Resistant Sapphire,Black,Leather,Black,,,"Hour, Minute","Gold PVD stainless steel case with a black leather strap. Fixed gold PVD interlocking G bezel. Black dial with gold-tone hands. No markers. Dial Type: Analog. Quartz movement. Scratch resistant sapphire crystal. Pull / push crown. Solid case back. Case size: 37 mm. Case thickness: 7 mm. Round case shape. Band width: 20 mm. Tang clasp. Water resistant at 50 meters / 165 feet. Functions: hour, minute. Dress watch style. Watch label: Swiss Made. Gucci Interlocking Black Dial Leather Unisex Watch YA133326.","Gold, Leather, Stainless Steel"
JY8037-50E,Citizen Navihawk a-t Jy8037-50e,M,world,338.2,USD,Citizen,New,,https://www.jomashop.com/citizen-watch-jy8037-50e.html,https://cdn2.jomashop.com/media/catalog/product/c/i/citizen-navihawk-a-t-eco-drive-black-dial-black-stainless-steel-chrono-men_s-watch-jy8037-50e_1.jpg,Jomashop,navihawk.a.t,,Eco-Drive,,,48,Stainless Steel,20,,Scratch Resistant Mineral,Black,Stainless Steel Mesh,Black,,,"Atomic, Month, Date, Atomic Timekeeping Technology with Synchronized Time Adjustment Available in 43 World Cities, Perpetual Calendar, 1/100 Second Chronograph, 3 Hand, Power Reserve Indicator, Multiple Alarms, Digital Display, GMT, World Time","Stainless steel case with a mesh stainless steel bracelet. Black dial with yellow-tone hands and index hour markers. Dial Type: Analog-digital. Luminescent hands and markers. Four sub-dials displaying: charge indicator, dual time, 24 hour and functions indicator. Citizen caliber Eco-Drive U680 quartz movement. Scratch resistant mineral crystal. Screw down crown. Case size: 48 mm. Case thickness: 15 mm. Round case shape. Band width: 23 mm. Deployment clasp with a push button release. Water resistant at 200 meters / 660 feet. Functions: hour, minute, second, chronograph, countdown timer, world timer, alarms, battery charge indicator, perpetual calendar. Sport watch style. Citizen Navihawk A-T Eco-Drive Chronograph Mens Watch JY8037-50E","Alarm, Atomic Timekeeping, Calendar, Chronograph, GMT, Month, Perpetual, Power Reserve Indicator, Solar, Stainless Steel, World Time"
BA110-7A1,Casio Baby-g Ba110-7a1,M,world,71.96,USD,Casio,New,,https://www.jomashop.com/casio-watch-ba110-7a1.html,https://cdn2.jomashop.com/media/catalog/product/c/a/casio-baby-g-white-resin-ladies-watch-ba110-7a1_1.jpg,Jomashop,baby.g,,Quartz,,,46,White Resin,10,Resin,Scratch Resistant Mineral,Rose Gold,Resin,White,,,"Hour, Minute, Second, World Time, 5 Daily Alarms, Stopwatch, Countdown Timer, Full Auto Calendar, 12/24 Hour","White resin case with a white resin strap. Fixed white resin bezel. Rose gold dial with rose gold-tone skeleton hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog-digital. Digital sub-dials displaying: seconds, date and day of the week. Quartz movement. Scratch resistant mineral crystal. Solid case back. Case dimensions: 46.3 x 43.4 mm. Case thickness: 15.8 mm. Round case shape. Band width: 24 mm. Tang clasp. Water resistant at 100 meters / 330 feet. Functions: hour, minute, second, world time, 5 daily alarms, stopwatch, countdown timer, full auto calendar, 12/24 hour. Additional Info: in general, suitable for swimming and snorkeling, but not scuba diving. Sport watch style. Casio Baby G White Resin Ladies Watch BA110-7A1.","Alarm, Calendar, Gold, Perpetual, World Time"
SNKP23,Seiko Recraft Snkp23,M,world,123.49,USD,Seiko,New,,https://www.jomashop.com/seiko-recraft-watch-snkp23.html,https://cdn2.jomashop.com/media/catalog/product/s/e/seiko-recraft-automatic-blue-dial-mens-watch-snkp23--.jpg,Jomashop,recraft,,Automatic,41,,40,Stainless Steel,5,Stainless Steel,Scratch Resistant Hardlex,Blue,Stainless Steel,Silver-tone,,,"Date, Day, Hour, Minute, Second","Silver-tone stainless steel case with a silver-tone stainless steel bracelet. Fixed silver-tone stainless steel bezel. Blue dial with luminous silver-tone hands and index hour markers. Minute markers. Dial Type: Analog. Day of the week and date display at the 3 o'clock position. Seiko Caliber 7S26 automatic movement with a 41-hour power reserve. Scratch resistant hardlex crystal. Pull / push crown. Transparent case back. Square case shape, case size: 39.5 mm, case thickness: 13 mm. Band width: 21 mm. Fold over clasp. Water resistant at 50 meters / 165 feet. Functions: date, day, hour, minute, second. Casual watch style. Watch label: Japan Movt. Seiko Recraft Automatic Blue Dial Stainless Steel Mens Watch SNKP23.","Calendar, Stainless Steel"
T097.427.26.033.00,Tissot Bridgeport T097.427.26.033.00,M,world,642.24,USD,Tissot,New,,https://www.jomashop.com/tissot-watch-t0974272603300.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-bridgeport-automatic-chronograph-silver-dial-brown-leather-watch-t097.427.26.033.00_1.jpg,Jomashop,bridgeport,,Automatic,44,,42,Stainless Steel,5,Stainless Steel,Scratch Resistant Sapphire,Silver,Leather,Brown,,,"Chronograph, Date, Hour, Minute, Second","Silver-tone and rose gold PVD stainless steel case with a brown leather strap. Fixed rose gold PVD bezel. Silver dial with rose gold-tone hands and Roman numeral hour markers. Minute markers around the outer rim. Dial Type: Analog. Date display at the 6 o'clock position. Chronograph - three sub-dials displaying: 60 second, 30 minute and 12 hour. Automatic movement with a 46 hour power reserve. Scratch resistant sapphire crystal. Skeleton case back. Case diameter: 42 mm. Case thickness: 13.9 mm. Round case shape. Strap width: 21 mm. Deployment clasp with a push button release. Water resistant at 50 meters / 165 feet. Functions: chronograph, date, hour, minute, second. Casual watch style. Watch label: Swiss Made. Tissot Bridgeport Automatic Chronograph Silver Dial Brown Leather Watch T097.427.26.033.00.","Calendar, Chronograph, Gold, Leather, Stainless Steel"
SNZH53,Seiko Series 5 Snzh53,M,world,146.21,USD,Seiko,New,,https://www.jomashop.com/seiko-5-mens-watch-snzh53.html,https://cdn2.jomashop.com/media/catalog/product/s/e/seiko-5-automatic-dark-blue-dial-stainless-steel-men_s-watch-snzh53.jpg,Jomashop,series.5,,Automatic,40,,41,Stainless Steel,10,Stainless Steel,Scratch Resistant Hardlex,Blue,Stainless Steel,Silver-tone,,,"Date, Day, Hour, Minute, Second","Silver-tone stainless steel case with a silver-tone stainless steel bracelet. Uni-directional rotating blue top ring stainless steel bezel. Blue dial with luminous silver-tone hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Day of the week and date display at the 3 o'clock position. Seiko Caliber 7S36 automatic movement with a 40-hour power reserve. Scratch resistant hardlex crystal. Pull / push crown. Skeleton case back. Round case shape, case size: 41 mm, case thickness: 14 mm. Band width: 22 mm. Fold over with safety release clasp. Water resistant at 100 meters / 330 feet. Functions: date, day, hour, minute, second. Additional Info: suitable for snorkeling, as well as swimming, but not diving. Casual watch style. Watch label: Japan Movt. Seiko Fifty Five Fathoms Automatic Blue Dial Mens Watch SNZH53.","Calendar, Stainless Steel"
2100011,Movado Museum 2100011,M,world,249.99,USD,Movado,New,,https://www.jomashop.com/movado-museum-watch-2100011.html,https://cdn2.jomashop.com/media/catalog/product/m/o/movado-museum-quartz-black-dial-ladies-watch-2100011.jpg,Jomashop,museum,,Quartz,,,38,Stainless Steel,3,Stainless Steel,Scratch Resistant Sapphire,Black,Leather,Black,,,"Hour, Minute","Rose gold-tone stainless steel case with a black leather strap. Uni-directional rotating rose gold-tone stainless steel bezel. Black dial with rose gold-tone hands. Dial Type: Analog. Quartz movement. Scratch resistant sapphire crystal. Pull / push crown. Round case shape. Case size: 38 mm. Band width: 21 mm. Buckle clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute. Casual watch style. Watch label: Swiss Made. Movado Museum Quartz Black Dial Ladies Watch 2100011.","Gold, Leather, Stainless Steel"
SNZG09,Seiko Series 5 Snzg09,M,world,109.24,USD,Seiko,New,,https://www.jomashop.com/seiko-5-mens-watch-snzg09.html,https://cdn2.jomashop.com/media/catalog/product/s/e/seiko-5-sport-automatic-khaki-green-canvas-mens-watch-snzg09_5.jpg,Jomashop,series.5,,Automatic,40,,42,Stainless Steel,10,Stainless Steel,Scratch Resistant Hardlex,Green,Canvas,Green,,,"Date, Day, 24 hour, Hour, Minute, Second","Silver-tone stainless steel case with a green canvas strap. Fixed silver-tone stainless steel bezel. Green dial with luminous hands and Arabic numeral hour markers. 24 hour markings. minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Day of the week and date display at the 3 o'clock position. Seiko Caliber 7S36 automatic movement with a 40-hour power reserve. Scratch resistant hardlex crystal. Pull / push crown. Skeleton case back. Round case shape, case size: 42 mm, case thickness: 12 mm. Band width: 22 mm. Tang clasp. Water resistant at 100 meters / 330 feet. Functions: date, day, 24 hour, hour, minute, second. Casual watch style. Seiko 5 Sport Automatic Khaki Green Canvas Mens Watch SNZG09.","Calendar, Stainless Steel"
H64451533,Hamilton Khaki H64451533,M,world,227.99,USD,Hamilton,New,,https://www.jomashop.com/hamilton-watch-h64451533.html,https://cdn2.jomashop.com/media/catalog/product/h/a/hamilton-khaki-black-dial-men_s-watch-h64451533.jpg,Jomashop,khaki,,Quartz,,,40,Stainless Steel,5,Stainless Steel,Scratch Resistant Sapphire,Black,Leather,Brown,,,"Date, Day, Hour, Minute, Second, Battery EOL Indicator","Stainless steel case with a brown leather strap. Fixed stainless steel bezel. Black dial with luminous silver-tone hands and Arabic numeral hour markers. 24 hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date and day of the week display centered on the 12 o'clock position. ETA caliber 955.132 quartz movement. Scratch resistant sapphire crystal. Solid case back. Round case shape. Case size: 40 mm. Case thickness: 11 mm. Band width: 20 mm. Tang clasp. Water resistant at 50 meters / 165 feet. Functions: date, day, hour, minute, second, battery eol indicator. Military watch style. Hamilton Khaki Black Dial Men's Watch H64451533.","Calendar, Leather, Stainless Steel"
FC-303MC4P5,Frederique Constant Classics Fc-303mc4p5,M,world,575.04,USD,Frederique Constant,New,,https://www.jomashop.com/frederique-constant-watch-303mc4p5.html,https://cdn2.jomashop.com/media/catalog/product/f/r/frederique-constant-classics-automatic-silver-dial-gold-plated-men_s-watch-303mc4p5-fc-303mc4p5.jpg,Jomashop,classics,,Automatic,38,,40,Stainless Steel,6,Stainless Steel,Scratch Resistant Sapphire,Silver Guilloche,Leather,Brown,,,"Date, Hour, Minute, Second","Yellow gold-plated stainless steel case with a brown leather strap. Fixed yellow gold-plated stainless steel bezel. Silver guilloche dial with black hands and Roman numeral hour markers. Minute markers around the outer rim. Dial Type: Analog. Date display at the 3 o'clock position. Frederique Constant calibre FC-303 automatic movement with a 38-hour power reserve. Scratch resistant sapphire crystal. Pull / push crown. Skeleton case back. Case size: 40 mm. Case thickness: 10 mm. Round case shape. Band width: 22 mm. Band length: 8 inches. Tang clasp. Water resistant at 60 meters / 200 feet. Functions: date, hour, minute, second. Dress watch style. Watch label: Swiss Made. Item Variations: FC 303MC4P5, FC.303MC4P5, FC303MC4P5. Frederique Constant Classics Automatic Silver Dial Mens Watch 303MC4P5.","Calendar, Gold, Leather, Stainless Steel"
T035.428.11.031.00,Tissot Couturier T035.428.11.031.00,M,world,246.99,USD,Tissot,New,,https://www.jomashop.com/tissot-watch-t0354281103100.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-couturier-silver-dial-stainless-steel-watch-t0354281103100_6.jpg,Jomashop,couturier,,Automatic,42,,39,Stainless Steel,10,Stainless Steel,Scratch Resistant Sapphire,White,Stainless Steel,Silver-tone,,,"Date, Hour, Minute, Second","Silver-tone stainless steel case with a silver-tone stainless steel bracelet. Fixed silver-tone stainless steel bezel. White dial with silver-tone hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Date display at the 9 o'clock position. Seconds sub-dial near the 8 o'clock position subdials. ETA Caliber 2825-2 automatic movement with a 42-hour power reserve. Scratch resistant sapphire crystal. Pull / push crown. Skeleton case back. Case size: 39 mm. Case thickness: 13 mm. Round case shape. Band width: 22 mm. Band length: 8 inches. Deployment clasp. Water resistant at 100 meters / 330 feet. Functions: date, hour, minute, second. Casual watch style. Watch label: Swiss Made. Tissot Couturier White Dial Stainless Steel Mens Watch T0354281103100.","Calendar, Stainless Steel"
AL-372MLY4FBS6,Alpina Startimer pilot Al-372mly4fbs6,M,world,299.99,USD,Alpina,New,,https://www.jomashop.com/alpina-watch-372mly4fbs6.html,https://cdn2.jomashop.com/media/catalog/product/a/l/alpina-startimer-pilot-chronograph-men_s-watch-372mly4fbs6.jpg,Jomashop,startimer.pilot,,Quartz,,,44,Stainless Steel,10,Stainless Steel,Scratch Resistant Sapphire,Camouflage,Cordura Nylon,Military Green,,,,"Black PVD stainless steel case with a military green cordura nylon strap. Fixed black PVD stainless steel bezel. Camouflage dial with luminous gold-tone hands and Arabic numeral hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands. Date display at the 6 o'clock position. Chronograph - sub-dials displaying: three - 60 second, 30 minute and 1/10th of a second. Alpina Calibre AL-372 quartz movement. Scratch resistant sapphire crystal. Solid case back. Round case shape, case size: 44 mm, case thickness: 13.5 mm. Band width: 22 mm. Tang clasp. Water resistant at 100 meters / 330 feet. Functions: chronograph, date, hour, minute, second. Sport watch style. Watch label: Swiss Made. Alpina Startimer Pilot Chronograph Mens Watch 372MLY4FBS6.","Calendar, Chronograph, Gold, Stainless Steel"
WAZ1010.BA0842,Tag Heuer Formula 1 Waz1010.ba0842,M,world,895,USD,Tag Heuer,New,,https://www.jomashop.com/tag-heuer-watch-waz1010-ba0842.html,https://cdn2.jomashop.com/media/catalog/product/t/h/thwaz1010ba0842.jpg,Jomashop,formula.1,,Quartz,,,43,Stainless Steel,20,Stainless Steel with a Blue Ion-plated Top Ring,Scratch Resistant Sapphire,Blue,Stainless Steel,Silver-tone,,,"Date, Hour, Minute, Second","Silver-tone stainless steel case and bracelet. Uni-directional rotating stainless steel bezel with a blue ion-plated top ring. Blue dial with luminous silver-tone hands and index hour markers. Arabic numerals mark the 6 and 12 o'clock positions. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 3 o'clock position. Quartz movement. Scratch resistant sapphire crystal. Screw down crown. Solid case back. Case size: 43 mm. Round case shape. Band width: 20 mm. Fold over clasp with a safety release. Water resistant at 200 meters / 660 feet. Functions: date, hour, minute, second. Luxury watch style. Watch label: Swiss Made. Tag Heuer Formula 1 Blue Dial Mens Watch WAZ1010.BA0842.","Calendar, Stainless Steel"
3600414,Movado Bold 3600414,M,world,149.99,USD,Movado,New,,https://www.jomashop.com/movado-watch-3600414.html,https://cdn2.jomashop.com/media/catalog/product/m/o/movado-bold-silver-dial-pink-silicone-ladies-watch-3600414.jpg,Jomashop,bold,,Quartz,,,38,Stainless Steel,3,Stainless Steel,Scratch Resistant K1 Mineral,Silver,Silicone,Pink,,,"Hour, Minute, Second","Stainless steel case with a pink silicone strap. Fixed stainless steel bezel. Silver dial with luminous silver-tone hands and dot hour markers. Minute markers around the outer rim. The Movado dot appears at the 12 o'clock position. Dial Type: Analog. Swiss quartz movement. Scratch resistant K1 mineral crystal. Solid case back. Case size: 38 mm. Round case shape. Tang clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute, second. Casual watch style. Movado Bold Silver Dial Pink Silicone Ladies Watch 3600414.",Stainless Steel
T103.310.36.113.01,Tissot Bella ora T103.310.36.113.01,M,world,113.99,USD,Tissot,New,,https://www.jomashop.com/tissot-bella-ora-watch-t1033103611301.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-bella-ora-white-mother-of-pearl-dial-ladies-leather-watch-t1033103611301.jpg,Jomashop,bella.ora,,Quartz,,,28,Stainless Steel,3,Stainless Steel,Scratch Resistant Sapphire,White Mother of Pearl,Cream Leather,White,,,"Hour, Minute, Small Second, Battery EOL Indicator","Rose gold-tone PVD stainless steel case with a white cream leather strap. Fixed rose gold-tone stainless steel bezel. White mother of pearl dial with rose gold-tone hands and Roman numeral hour markers. Dial Type: Analog. One- small seconds subdials. ETA Caliber 980.153 quartz movement. Scratch resistant sapphire crystal. Pull / push crown. Solid case back. Oval case shape, case size: 28 mm x 31.4 mm, case thickness: 6.6 mm. Band width: 16 mm. Buckle clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute, small second, battery eol indicator. Dress watch style. Watch label: Swiss Made. Tissot Bella Ora White Mother of Pearl Dial Ladies Leather Watch T1033103611301.","Gold, Leather, Stainless Steel"
2100010,Movado Museum 2100010,M,world,239,USD,Movado,New,,https://www.jomashop.com/movado-museum-watch-2100010.html,https://cdn2.jomashop.com/media/catalog/product/m/o/movado-museum-quartz-blue-dial-ladies-watch-2100010.jpg,Jomashop,museum,,Quartz,,,27,Stainless Steel,3,Stainless Steel,Scratch Resistant Sapphire,Blue,Leather,Black,,,"Hour, Minute","Silver-tone stainless steel case with a black leather strap. Fixed silver-tone stainless steel bezel. Blue dial with silver-tone hands. Dial Type: Analog. Quartz movement. Scratch resistant sapphire crystal. Solid case back. Round case shape, case size: 27 mm, case thickness: 7 mm. Band width: 15 mm. Buckle clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute. Casual watch style. Watch label: Swiss Movt. Movado Museum Blue Dial Ladies Watch 2100010.","Leather, Stainless Steel"
01 761 7691 4054-07 8 21 80,Oris Artix 01 761 7691 4054-07 8 21 80,M,world,767.04,USD,Oris,New,,https://www.jomashop.com/oris-watch-761-7691-4054mb.html,https://cdn2.jomashop.com/media/catalog/product/o/r/oris-artix-pointer-moon-black-dial-stainless-steel-mens-watch-76176914054mb-01-761-7691-4054-07-8-21-80.jpg,Jomashop,artix,,Automatic,38,,42,Stainless Steel,10,Stainless Steel,Scratch Resistant Sapphire,Black,Stainless Steel,Silver-tone,,,"Date, Hour, Minute, Second","Stainless steel case with a stainless steel bracelet. Fixed silver-tone stainless steel bezel. Black dial with luminous silver-tone hands and index hour markers. Date scale. Moonphase markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 6 o'clock position. Oris calibre 761, base SW 220-1 automatic movement with a 38-hour power reserve. Scratch resistant sapphire crystal. Pull / push crown. Skeleton case back. Round case shape. Case size: 42 mm. Band width: 21 mm. Band length: 7 inches. Deployment clasp. Water resistant at 100 meters / 330 feet. Functions: date, hour, minute, second. Dress watch style. Watch label: Swiss Made. Oris Artix Pointer Moon Automatic Mens Watch 01 761 7691 4054-07 8 21 80.","Calendar, Moon Phase, Stainless Steel"
T095.417.11.067.00,Tissot Quickster T095.417.11.067.00,M,world,261.24,USD,Tissot,New,,https://www.jomashop.com/tissot-watch-t0954171106700.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-quickster-chronograph-anthracite-dial-men_s-watch-t0954171106700.jpg,Jomashop,quickster,,Quartz,,,42,Stainless Steel,10,Stainless Steel showing Tachymeter Markings,Scratch Resistant Sapphire,Anthracite,Stainless Steel,Silver-tone,,,"Chronograph, Date, Hour, Minute, Second, Tachymeter","Stainless steel case with a stainless steel bracelet. Fixed silver-tone bezel with tachymeter markings. Anthracite dial with luminous hands and index hour markers. Arabic numeral marks the 12 o'clock position. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 4 o'clock position. Chronograph - three sub-dials displaying: 60 second, 30 minute and 1/10th of a second. Quartz movement. Scratch resistant sapphire crystal. Solid case back. Case diameter: 42 mm. Case thickness: 10.72 mm. Round case shape. Band width: 18 mm. Fold over clasp. Water resistant at 100 meters / 330 feet. Functions: chronograph, date, hour, minute, second. Casual watch style. Tissot Quickster Chronograph Anthracite Dial Stainless Steel Men's Watch T0954171106700.","Calendar, Chronograph, Stainless Steel"
2760-SB2-20001,Raymond Weil Freelancer 2760-sb2-20001,M,world,648,USD,Raymond Weil,New,,https://www.jomashop.com/raymond-weil-watch-2760-sb2-20001.html,https://cdn2.jomashop.com/media/catalog/product/r/a/raymond-weil-freelancer-automatic-black-dial-men_s-watch-2760-sb2-20001.jpg,Jomashop,freelancer,,Automatic,,,43,Stainless Steel,30,Stainless Steel with a Ceramic,Scratch Resistant Sapphire,Black,Perforated Rubber,Black,,,"Date, Hour, Minute, Second","Black PVD stainless steel case with a black perforated rubber strap. Uni-directional rotating black PVD bezel with a black ceramic top ring. Black dial with luminous orange hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 4 o'clock position. Automatic movement. Scratch resistant sapphire crystal. Screw down crown. Solid case back. Round case shape, case size: 42.5 mm, case thickness: 11.8 mm. Band width: 22 mm. Deployment clasp. Water resistant at 300 meters / 1000 feet. Functions: date, hour, minute, second. Additional Info: in general, suitable for mixed-gas diving. Luxury watch style. Watch label: Swiss Made. Raymond Weil Freelancer Automatic Black Dial Mens Watch 2760-SB2-20001.","Calendar, Ceramic, Rubber, Stainless Steel"
3006,Swiss Military Invincible 3006,M,world,695,USD,Swiss Military,New,,https://www.jomashop.com/swiss-military-invincible-watch-3006.html,https://cdn2.jomashop.com/media/catalog/product/s/w/swiss-military-dreadnought-automatic-black-dial-mens-watch-3006.jpg,Jomashop,invincible,,Automatic,38,,,Stainless Steel,20,Stainless Steel,Scratch Resistant Sapphire,Black,Stainless Steel,Silver-tone,,,"Date, Hour, Minute, Second","Silver-tone stainless steel case with a silver-tone stainless steel bracelet. Black stainless steel bezel. Black dial with silver-tone hands and dot hour markers. Minute markers around the outer rim. Dial Type: Analog. Date display at the 3 o'clock position. ETA Caliber 2824 automatic movement with a 38-hour power reserve. Scratch resistant sapphire crystal. Screw-down crown. Round case shape. Case size: 42 mm. Band width: 20 mm. Water resistant at 200 meters / 660 feet. Functions: date, hour, minute, second. Casual watch style. Watch label: Swiss Made. Swiss Military Invincible Automatic Black Dial Mens Watch 3006.","Calendar, Stainless Steel"
T055.417.17.057.00,Tissot Prc 200 T055.417.17.057.00,M,world,318.25,USD,Tissot,New,,https://www.jomashop.com/tissot-watch-t0554171705700.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-prc-200-chronograph-black-dial-men_s-watch-t0554171705700_1.jpg,Jomashop,prc.200,,Quartz,,,42,Stainless Steel,20,Stainless Steel,Scratch Resistant Sapphire,Black,Rubber,Black,,,"Chronograph, Date, Hour, Minute, Second","Stainless steel case with a black rubber strap. Fixed stainless steel bezel. Black dial with luminous silver-tone hands and index hour markers. Arabic numerals mark the 3, 9 and 12 o'clock positions. Minute markers. Tachymeter around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 4 o'clock position. Chronograph - three sub-dials displaying: 60 second, 30 minute and 1/10th of a second. Quartz movement. Scratch resistant sapphire crystal. Screw down crown. Solid case back. Case diameter: 42 mm. Case thickness: 13 mm. Round case shape. Band width: 19 mm. Band length: 8.5 inches. Tang clasp. Water resistant at 200 meters / 660 feet. Functions: chronograph, tachymeter, date, hour, minute, second. Casual watch style. Watch label: Swiss Made. Tissot PRC 200 Chronograph Black Dial Black Rubber Men's Watch T0554171705700","Calendar, Chronograph, Rubber, Stainless Steel"
T062.430.17.057.00,Tissot T-navigator T062.430.17.057.00,M,world,299.99,USD,Tissot,New,,https://www.jomashop.com/tissot-watch-t0624301705700.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-t-navigator-automatic-black-dial-men_s-watch-t0624301705700.jpg,Jomashop,t.navigator,,Automatic,40,,44,Stainless Steel,10,Stainless Steel showing Compass Markings,Scratch Resistant Sapphire,Black,Rubber,Black,,,"Date, Day, Hour, Minute, Second, Compass","Stainless steel case with a black rubber strap. Uni-directional rotating black PVD bezel showing compass markings. Black dial with black hands and stick hour markers. Arabic numerals at the 3, 6, 9, and 12 o'clock positions. Arabic numeral minute markers (at 5 minute intervals). Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Day of the week and date display appears at the 3 o'clock position. Automatic movement with a 40-hour power reserve. Scratch resistant sapphire crystal. See through case back. Case diameter: 44 mm. Case thickness: 12.5 mm. Band width: 21.5 mm. Band length: 8 inches. Deployment clasp with a push button release. Water resistant at 100 meters / 330 feet. Functions: date, day, hour, minute, second, compass. Sport watch style. Watch label: Swiss Made. Tissot T-Navigator Automatic Black Dial Stainless Steel Mens Watch T0624301705700.","Calendar, Compass, Rubber, Stainless Steel"
